Length,Bed
7.13,279
8.82,80
8.34,107
8.95,147
11.2,180
9.76,150
9.68,186
11.18,640
8.67,182
8.84,85
11.07,768
8.3,167
12.78,322
7.58,97
9,72
11.08,387
8.28,108
11.62,133
9.06,134
9.35,833
7.53,95
10.24,195
9.78,270
9.84,600
9.2,298
8.28,546
9.31,170
8.19,176
11.65,248
9.89,167
11.03,318
9.84,210
11.77,196
13.59,312
9.74,221
10.33,266
9.97,90
7.84,60
10.47,196
8.16,73
8.48,166
10.72,113
11.2,130
10.12,362
8.37,115
10.16,831
19.56,306
10.9,593
7.67,106
8.88,305
11.48,252
9.23,620
11.41,535
12.07,157
8.63,76
11.15,281
7.14,70
7.65,318
10.73,445
11.46,191
10.42,119
11.18,595
7.93,68
9.66,83
7.78,489
9.42,508
10.02,265
8.58,304
9.61,487
8.03,97
7.39,72
7.08,87
9.53,298
10.05,184
8.45,235
6.7,76
8.9,52
10.23,752
8.88,237
10.3,175
10.79,461
7.94,195
7.63,197
8.77,143
8.09,92
9.05,195
7.91,477
10.39,353
9.36,165
11.41,424
8.86,100
8.93,95
8.92,56
8.15,99
9.77,154
8.54,98
8.66,246
12.01,298
7.95,163
10.15,568
9.76,64
9.89,190
7.14,92
13.95,356
9.44,297
10.8,130
7.14,115
8.02,91
11.8,571
9.5,98
7.7,129
17.94,835
9.41,29
